"","18S"," 16S"," PITS"," CO1"," COI"," COX1"," FITS"," ITS2"," ITS1"," trnl"," 12S"
"Codium fragile subsp. tomentosoides","Codium fragile subsp. tomentosoides[ORGN] AND 18S","Codium fragile subsp. tomentosoides[ORGN] AND  16S","Codium fragile subsp. tomentosoides[ORGN] AND  PITS","Codium fragile subsp. tomentosoides[ORGN] AND  CO1","Codium fragile subsp. tomentosoides[ORGN] AND  COI","Codium fragile subsp. tomentosoides[ORGN] AND  COX1","Codium fragile subsp. tomentosoides[ORGN] AND  FITS","Codium fragile subsp. tomentosoides[ORGN] AND  ITS2","Codium fragile subsp. tomentosoides[ORGN] AND  ITS1","Codium fragile subsp. tomentosoides[ORGN] AND  trnl","Codium fragile subsp. tomentosoides[ORGN] AND  12S"
"Heterosiphonia","Heterosiphonia[ORGN] AND 18S","Heterosiphonia[ORGN] AND  16S","Heterosiphonia[ORGN] AND  PITS","Heterosiphonia[ORGN] AND  CO1","Heterosiphonia[ORGN] AND  COI","Heterosiphonia[ORGN] AND  COX1","Heterosiphonia[ORGN] AND  FITS","Heterosiphonia[ORGN] AND  ITS2","Heterosiphonia[ORGN] AND  ITS1","Heterosiphonia[ORGN] AND  trnl","Heterosiphonia[ORGN] AND  12S"
"Prorocentrum minimum","Prorocentrum minimum[ORGN] AND 18S","Prorocentrum minimum[ORGN] AND  16S","Prorocentrum minimum[ORGN] AND  PITS","Prorocentrum minimum[ORGN] AND  CO1","Prorocentrum minimum[ORGN] AND  COI","Prorocentrum minimum[ORGN] AND  COX1","Prorocentrum minimum[ORGN] AND  FITS","Prorocentrum minimum[ORGN] AND  ITS2","Prorocentrum minimum[ORGN] AND  ITS1","Prorocentrum minimum[ORGN] AND  trnl","Prorocentrum minimum[ORGN] AND  12S"
"Sargassum muticum","Sargassum muticum[ORGN] AND 18S","Sargassum muticum[ORGN] AND  16S","Sargassum muticum[ORGN] AND  PITS","Sargassum muticum[ORGN] AND  CO1","Sargassum muticum[ORGN] AND  COI","Sargassum muticum[ORGN] AND  COX1","Sargassum muticum[ORGN] AND  FITS","Sargassum muticum[ORGN] AND  ITS2","Sargassum muticum[ORGN] AND  ITS1","Sargassum muticum[ORGN] AND  trnl","Sargassum muticum[ORGN] AND  12S"
"Bonnemaisonia hamifera","Bonnemaisonia hamifera[ORGN] AND 18S","Bonnemaisonia hamifera[ORGN] AND  16S","Bonnemaisonia hamifera[ORGN] AND  PITS","Bonnemaisonia hamifera[ORGN] AND  CO1","Bonnemaisonia hamifera[ORGN] AND  COI","Bonnemaisonia hamifera[ORGN] AND  COX1","Bonnemaisonia hamifera[ORGN] AND  FITS","Bonnemaisonia hamifera[ORGN] AND  ITS2","Bonnemaisonia hamifera[ORGN] AND  ITS1","Bonnemaisonia hamifera[ORGN] AND  trnl","Bonnemaisonia hamifera[ORGN] AND  12S"
"Ficopomatus enigmaticus","Ficopomatus enigmaticus[ORGN] AND 18S","Ficopomatus enigmaticus[ORGN] AND  16S","Ficopomatus enigmaticus[ORGN] AND  PITS","Ficopomatus enigmaticus[ORGN] AND  CO1","Ficopomatus enigmaticus[ORGN] AND  COI","Ficopomatus enigmaticus[ORGN] AND  COX1","Ficopomatus enigmaticus[ORGN] AND  FITS","Ficopomatus enigmaticus[ORGN] AND  ITS2","Ficopomatus enigmaticus[ORGN] AND  ITS1","Ficopomatus enigmaticus[ORGN] AND  trnl","Ficopomatus enigmaticus[ORGN] AND  12S"
"Teredo navalis","Teredo navalis[ORGN] AND 18S","Teredo navalis[ORGN] AND  16S","Teredo navalis[ORGN] AND  PITS","Teredo navalis[ORGN] AND  CO1","Teredo navalis[ORGN] AND  COI","Teredo navalis[ORGN] AND  COX1","Teredo navalis[ORGN] AND  FITS","Teredo navalis[ORGN] AND  ITS2","Teredo navalis[ORGN] AND  ITS1","Teredo navalis[ORGN] AND  trnl","Teredo navalis[ORGN] AND  12S"
"Marenzelleria viridis","Marenzelleria viridis[ORGN] AND 18S","Marenzelleria viridis[ORGN] AND  16S","Marenzelleria viridis[ORGN] AND  PITS","Marenzelleria viridis[ORGN] AND  CO1","Marenzelleria viridis[ORGN] AND  COI","Marenzelleria viridis[ORGN] AND  COX1","Marenzelleria viridis[ORGN] AND  FITS","Marenzelleria viridis[ORGN] AND  ITS2","Marenzelleria viridis[ORGN] AND  ITS1","Marenzelleria viridis[ORGN] AND  trnl","Marenzelleria viridis[ORGN] AND  12S"
"Membranipora membranacea","Membranipora membranacea[ORGN] AND 18S","Membranipora membranacea[ORGN] AND  16S","Membranipora membranacea[ORGN] AND  PITS","Membranipora membranacea[ORGN] AND  CO1","Membranipora membranacea[ORGN] AND  COI","Membranipora membranacea[ORGN] AND  COX1","Membranipora membranacea[ORGN] AND  FITS","Membranipora membranacea[ORGN] AND  ITS2","Membranipora membranacea[ORGN] AND  ITS1","Membranipora membranacea[ORGN] AND  trnl","Membranipora membranacea[ORGN] AND  12S"
"Bugula neritina","Bugula neritina[ORGN] AND 18S","Bugula neritina[ORGN] AND  16S","Bugula neritina[ORGN] AND  PITS","Bugula neritina[ORGN] AND  CO1","Bugula neritina[ORGN] AND  COI","Bugula neritina[ORGN] AND  COX1","Bugula neritina[ORGN] AND  FITS","Bugula neritina[ORGN] AND  ITS2","Bugula neritina[ORGN] AND  ITS1","Bugula neritina[ORGN] AND  trnl","Bugula neritina[ORGN] AND  12S"
"Cordylophora caspia","Cordylophora caspia[ORGN] AND 18S","Cordylophora caspia[ORGN] AND  16S","Cordylophora caspia[ORGN] AND  PITS","Cordylophora caspia[ORGN] AND  CO1","Cordylophora caspia[ORGN] AND  COI","Cordylophora caspia[ORGN] AND  COX1","Cordylophora caspia[ORGN] AND  FITS","Cordylophora caspia[ORGN] AND  ITS2","Cordylophora caspia[ORGN] AND  ITS1","Cordylophora caspia[ORGN] AND  trnl","Cordylophora caspia[ORGN] AND  12S"
"Ectopleura crocea","Ectopleura crocea[ORGN] AND 18S","Ectopleura crocea[ORGN] AND  16S","Ectopleura crocea[ORGN] AND  PITS","Ectopleura crocea[ORGN] AND  CO1","Ectopleura crocea[ORGN] AND  COI","Ectopleura crocea[ORGN] AND  COX1","Ectopleura crocea[ORGN] AND  FITS","Ectopleura crocea[ORGN] AND  ITS2","Ectopleura crocea[ORGN] AND  ITS1","Ectopleura crocea[ORGN] AND  trnl","Ectopleura crocea[ORGN] AND  12S"
"Mysis diluviana","Mysis diluviana[ORGN] AND 18S","Mysis diluviana[ORGN] AND  16S","Mysis diluviana[ORGN] AND  PITS","Mysis diluviana[ORGN] AND  CO1","Mysis diluviana[ORGN] AND  COI","Mysis diluviana[ORGN] AND  COX1","Mysis diluviana[ORGN] AND  FITS","Mysis diluviana[ORGN] AND  ITS2","Mysis diluviana[ORGN] AND  ITS1","Mysis diluviana[ORGN] AND  trnl","Mysis diluviana[ORGN] AND  12S"
"Caprella mutica","Caprella mutica[ORGN] AND 18S","Caprella mutica[ORGN] AND  16S","Caprella mutica[ORGN] AND  PITS","Caprella mutica[ORGN] AND  CO1","Caprella mutica[ORGN] AND  COI","Caprella mutica[ORGN] AND  COX1","Caprella mutica[ORGN] AND  FITS","Caprella mutica[ORGN] AND  ITS2","Caprella mutica[ORGN] AND  ITS1","Caprella mutica[ORGN] AND  trnl","Caprella mutica[ORGN] AND  12S"
"Amphibalanus improvisus","Amphibalanus improvisus[ORGN] AND 18S","Amphibalanus improvisus[ORGN] AND  16S","Amphibalanus improvisus[ORGN] AND  PITS","Amphibalanus improvisus[ORGN] AND  CO1","Amphibalanus improvisus[ORGN] AND  COI","Amphibalanus improvisus[ORGN] AND  COX1","Amphibalanus improvisus[ORGN] AND  FITS","Amphibalanus improvisus[ORGN] AND  ITS2","Amphibalanus improvisus[ORGN] AND  ITS1","Amphibalanus improvisus[ORGN] AND  trnl","Amphibalanus improvisus[ORGN] AND  12S"
"Bythotrephes longimanus","Bythotrephes longimanus[ORGN] AND 18S","Bythotrephes longimanus[ORGN] AND  16S","Bythotrephes longimanus[ORGN] AND  PITS","Bythotrephes longimanus[ORGN] AND  CO1","Bythotrephes longimanus[ORGN] AND  COI","Bythotrephes longimanus[ORGN] AND  COX1","Bythotrephes longimanus[ORGN] AND  FITS","Bythotrephes longimanus[ORGN] AND  ITS2","Bythotrephes longimanus[ORGN] AND  ITS1","Bythotrephes longimanus[ORGN] AND  trnl","Bythotrephes longimanus[ORGN] AND  12S"
"Cercopagis pengoi","Cercopagis pengoi[ORGN] AND 18S","Cercopagis pengoi[ORGN] AND  16S","Cercopagis pengoi[ORGN] AND  PITS","Cercopagis pengoi[ORGN] AND  CO1","Cercopagis pengoi[ORGN] AND  COI","Cercopagis pengoi[ORGN] AND  COX1","Cercopagis pengoi[ORGN] AND  FITS","Cercopagis pengoi[ORGN] AND  ITS2","Cercopagis pengoi[ORGN] AND  ITS1","Cercopagis pengoi[ORGN] AND  trnl","Cercopagis pengoi[ORGN] AND  12S"
"Rhithropanopeus harrisii","Rhithropanopeus harrisii[ORGN] AND 18S","Rhithropanopeus harrisii[ORGN] AND  16S","Rhithropanopeus harrisii[ORGN] AND  PITS","Rhithropanopeus harrisii[ORGN] AND  CO1","Rhithropanopeus harrisii[ORGN] AND  COI","Rhithropanopeus harrisii[ORGN] AND  COX1","Rhithropanopeus harrisii[ORGN] AND  FITS","Rhithropanopeus harrisii[ORGN] AND  ITS2","Rhithropanopeus harrisii[ORGN] AND  ITS1","Rhithropanopeus harrisii[ORGN] AND  trnl","Rhithropanopeus harrisii[ORGN] AND  12S"
