"ORGN Name","18S","16S","PITS","CO1","COI","COX1","FITS","ITS2","ITS1","trnl","12S"
"Codium fragile subsp. tomentosoides","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Heterosiphonia","zero","zero","zero","zero","Heterosiphonia","zero","zero","zero","zero","zero","zero"
"Prorocentrum minimum","Prorocentrum minimum","zero","zero","Prorocentrum minimum","Prorocentrum minimum","Prorocentrum minimum","zero","Prorocentrum minimum","Prorocentrum minimum","zero","zero"
"Sargassum muticum","Sargassum muticum","Sargassum muticum","zero","zero","Sargassum muticum","Sargassum muticum","zero","Sargassum muticum","Sargassum muticum","zero","zero"
"Bonnemaisonia hamifera","Bonnemaisonia hamifera","zero","zero","zero","Bonnemaisonia hamifera","zero","zero","zero","zero","zero","zero"
"Ficopomatus enigmaticus","Ficopomatus enigmaticus","Ficopomatus enigmaticus","zero","zero","Ficopomatus enigmaticus","zero","zero","zero","zero","zero","zero"
"Teredo navalis","Teredo navalis","zero","zero","zero","Teredo navalis","zero","zero","zero","zero","zero","zero"
"Marenzelleria viridis","Marenzelleria viridis","Marenzelleria viridis","zero","zero","Marenzelleria viridis","zero","zero","zero","zero","zero","zero"
"Membranipora membranacea","Membranipora membranacea","Membranipora membranacea","zero","Membranipora membranacea","Membranipora membranacea","Membranipora membranacea","zero","zero","zero","zero","Membranipora membranacea"
"Bugula neritina","Bugula neritina","Bugula neritina","zero","Bugula neritina","Bugula neritina","Bugula neritina","zero","zero","zero","zero","Bugula neritina"
"Cordylophora caspia","Cordylophora caspia","Cordylophora caspia","zero","zero","Cordylophora caspia","zero","zero","zero","Cordylophora caspia","zero","zero"
"Ectopleura crocea","Ectopleura crocea","Ectopleura crocea","zero","zero","Ectopleura crocea","Ectopleura crocea","zero","zero","Ectopleura crocea","zero","zero"
"Mysis diluviana","Mysis diluviana","Mysis diluviana","zero","zero","Mysis diluviana","zero","zero","zero","zero","zero","zero"
"Caprella mutica","Caprella mutica","Caprella mutica","zero","Caprella mutica","Caprella mutica","Caprella mutica","zero","zero","zero","zero","Caprella mutica"
"Amphibalanus improvisus","zero","Amphibalanus improvisus","zero","Amphibalanus improvisus","Amphibalanus improvisus","zero","zero","zero","zero","zero","Amphibalanus improvisus"
"Bythotrephes longimanus","Bythotrephes longimanus","Bythotrephes longimanus","zero","zero","Bythotrephes longimanus","zero","zero","zero","zero","zero","Bythotrephes longimanus"
"Cercopagis pengoi","Cercopagis pengoi","Cercopagis pengoi","zero","zero","Cercopagis pengoi","Cercopagis pengoi","zero","zero","zero","zero","Cercopagis pengoi"
"Rhithropanopeus harrisii","Rhithropanopeus harrisii","Rhithropanopeus harrisii","zero","zero","Rhithropanopeus harrisii","Rhithropanopeus harrisii","zero","zero","zero","zero","Rhithropanopeus harrisii"
"Orconectes","Orconectes","Orconectes","zero","zero","Orconectes","Orconectes","zero","Orconectes","Orconectes","zero","Orconectes"
"Procambarus clarkii","Procambarus clarkii","Procambarus clarkii","zero","zero","Procambarus clarkii","Procambarus clarkii","zero","Procambarus clarkii","Procambarus clarkii","zero","Procambarus clarkii"
"Homarus americanus","Homarus americanus","Homarus americanus","zero","zero","Homarus americanus","Homarus americanus","zero","Homarus americanus","zero","zero","Homarus americanus"
"Crepidula fornicata","Crepidula fornicata","Crepidula fornicata","zero","zero","Crepidula fornicata","Crepidula fornicata","zero","zero","zero","zero","Crepidula fornicata"
"Mytilopsis leucophaeata","Mytilopsis leucophaeata","Mytilopsis leucophaeata","zero","zero","Mytilopsis leucophaeata","Mytilopsis leucophaeata","zero","zero","zero","zero","zero"
"Dreissena polymorpha","Dreissena polymorpha","Dreissena polymorpha","zero","zero","Dreissena polymorpha","Dreissena polymorpha","zero","zero","zero","zero","Dreissena polymorpha"
"Crassostrea gigas","Crassostrea gigas","Crassostrea gigas","zero","Crassostrea gigas","Crassostrea gigas","Crassostrea gigas","zero","Crassostrea gigas","Crassostrea gigas","zero","Crassostrea gigas"
"Petricolaria pholadiformis","Petricolaria pholadiformis","zero","zero","zero","Petricolaria pholadiformis","Petricolaria pholadiformis","zero","zero","zero","zero","zero"
"Corbicula fluminea","Corbicula fluminea","Corbicula fluminea","zero","Corbicula fluminea","Corbicula fluminea","Corbicula fluminea","zero","zero","zero","zero","Corbicula fluminea"
"Dreissena rostriformis bugensis","Dreissena rostriformis bugensis","Dreissena rostriformis bugensis","zero","zero","Dreissena rostriformis bugensis","zero","zero","zero","zero","zero","zero"
"Melanoides tuberculata","zero","Melanoides tuberculata","zero","Melanoides tuberculata","Melanoides tuberculata","Melanoides tuberculata","zero","Melanoides tuberculata","zero","zero","Melanoides tuberculata"
"Potamopyrgus antipodarum","Potamopyrgus antipodarum","Potamopyrgus antipodarum","zero","zero","Potamopyrgus antipodarum","Potamopyrgus antipodarum","zero","Potamopyrgus antipodarum","Potamopyrgus antipodarum","zero","Potamopyrgus antipodarum"
"Caulerpa taxifolia","Caulerpa taxifolia","Caulerpa taxifolia","zero","zero","zero","zero","zero","Caulerpa taxifolia","Caulerpa taxifolia","zero","zero"
"Myriophyllum aquaticum","Myriophyllum aquaticum","Myriophyllum aquaticum","zero","zero","zero","zero","zero","Myriophyllum aquaticum","Myriophyllum aquaticum","Myriophyllum aquaticum","zero"
"Egeria densa","Egeria densa","zero","zero","zero","zero","zero","zero","Egeria densa","Egeria densa","Egeria densa","zero"
