"","18S"," 16S"," PITS"," CO1"," COI"," COX1"," FITS"," ITS2"," ITS1"," trnl"," 12S"
"Codium fragile subsp. tomentosoides","0","0","0","0","0","0","0","0","0","0","0"
"Heterosiphonia","0","0","0","0","32","0","0","0","0","0","0"
"Prorocentrum minimum","13","0","0","27","3","17","0","19","19","0","0"
"Sargassum muticum","3","2","0","0","10","20","0","13","5","0","0"
"Bonnemaisonia hamifera","1","0","0","0","10","0","0","0","0","0","0"
"Ficopomatus enigmaticus","8","1","0","0","11","0","0","0","0","0","0"
"Teredo navalis","4","0","0","0","156","0","0","0","0","0","0"
"Marenzelleria viridis","7","13","0","0","16","0","0","0","0","0","0"
"Membranipora membranacea","3","2","0","49","27","1","0","0","0","0","1"
"Bugula neritina","1","123","0","3","371","3","0","0","0","0","4"
"Cordylophora caspia","1","2","0","0","10","0","0","0","2","0","0"
"Ectopleura crocea","9","4","0","0","16","1","0","0","6","0","0"
"Mysis diluviana","1","1","0","0","29","0","0","0","0","0","0"
"Caprella mutica","5","3","0","1","317","2","0","0","0","0","1"
"Amphibalanus improvisus","0","8","0","1","57","0","0","0","0","0","11"
"Bythotrephes longimanus","2","2","0","0","27","0","0","0","0","0","1"
"Cercopagis pengoi","11","6","0","0","6","1","0","0","0","0","1"
"Rhithropanopeus harrisii","1","7","0","0","274","16","0","0","0","0","1"
"Orconectes","7","263","0","0","519","12","0","65","65","0","24"
"Procambarus clarkii","9","38","0","0","392","14","0","16","48","0","7"
"Homarus americanus","22","17","0","0","14","3","0","1","0","0","4"
"Crepidula fornicata","1","6","0","0","34","31","0","0","0","0","1"
"Mytilopsis leucophaeata","2","6","0","0","57","7","0","0","0","0","0"
"Dreissena polymorpha","6","18","0","0","93","5","0","0","0","0","2"
"Crassostrea gigas","29","71","0","1","335","17","0","19","41","0","11"
"Petricolaria pholadiformis","7","0","0","0","1","1","0","0","0","0","0"
"Corbicula fluminea","9","21","0","35","104","29","0","0","0","0","4"
"Dreissena rostriformis bugensis","2","20","0","0","29","0","0","0","0","0","0"
"Melanoides tuberculata","0","81","0","9","25","41","0","2","0","0","17"
"Potamopyrgus antipodarum","94","77","0","0","353","33","0","97","93","0","35"
"Caulerpa taxifolia","164","22","0","0","0","0","0","157","154","0","0"
"Myriophyllum aquaticum","4","2","0","0","0","0","0","5","5","2","0"
"Egeria densa","2","0","0","0","0","0","0","5","13","1","0"
"Eichhornia crassipes","1","2","0","0","0","0","0","1","0","0","0"
