"","18S"," 16S"," CO1"," COI"," COX1"," ITS2"," ITS1"," trnl"," 12S"
"Codiaceae","7","9","0","0","2","1","1","5","0"
"Dasyaceae","7","2","0","128","10","9","0","9","0"
"Prorocentraceae","115","2","159","62","102","180","180","0","0"
"Sargassaceae","111","85","0","96","417","1135","149","25","0"
"Bonnemaisoniaceae","2","8","0","59","21","0","0","2","0"
"Serpulidae","371","3","1","383","2","156","1","0","2"
"Teredinidae","96","20","0","210","7","0","0","0","0"
"Spionidae","505","650","23","1031","102","2","0","0","13"
"Membraniporidae","6","6","61","50","3","0","0","0","3"
"Bugulidae","9","142","5","418","4","0","0","0","4"
"Oceaniidae","12","170","0","69","4","0","2","0","3"
"Tubulariidae","27","48","0","43","3","0","6","0","0"
"Mysidae","178","162","2","1186","29","4","5","0","5"
"Caprellidae","124","14","1","1502","17","0","3","0","2"
"Balanidae","69","87","3","4418","78","1","3","0","125"
"Cercopagididae","16","9","0","35","1","0","0","0","2"
"Panopeidae","57","134","0","826","77","0","0","0","81"
"Cambaridae","53","1330","164","2353","265","83","113","0","494"
"Nephropidae","303","315","0","160","23","1","4","0","58"
"Calyptraeidae","4","113","8","424","37","0","0","0","2"
"Dreissenidae","42","168","0","704","13","0","0","0","2"
"Ostreidae","269","1586","96","2054","400","261","675","0","145"
"Petricolidae","8","1","0","2","2","0","0","0","0"
"Corbiculidae","51","151","91","419","46","1","37","0","5"
"Thiaridae","5","279","15","264","202","2","4","0","30"
"Tateidae","168","596","0","999","35","97","109","0","143"
"Caulerpaceae","493","40","0","0","5","357","434","6","0"
"Haloragaceae","423","6","0","0","0","389","354","115","0"
"Hydrocharitaceae","861","16","0","0","15","804","804","308","0"
"Pontederiaceae","3","4","0","0","0","1","0","2","0"
"Menyanthaceae","253","13","0","0","1","272","262","82","0"
"Araceae","602","110","1","0","81","789","581","2871","3"
"Salviniaceae","39","9","0","0","0","34","34","107","0"
"Cionidae","30","0","23","505","42","6","17","0","1"
"Didemnidae","113","4","30","434","101","0","0","0","3"
"Styelidae","99","4","16","1168","255","1","2","0","3"
"Molgulidae","56","0","5","53","1","0","0","0","0"
"Ascidiidae","91","0","81","61","22","0","0","0","0"
"Clupeidae","67","1311","287","2363","739","0","2","0","1313"
"Cichlidae","347","1425","221","4210","618","72","185","0","641"
"Moronidae","36","42","0","159","18","0","30","0","30"
"Osmeridae","3","141","0","480","28","80","6","6","71"
"Salmonidae","855","1411","169","3251","870","47","482","0","821"
"Scorpaenidae","12","114","33","1001","33","0","1","0","113"
"Ictaluridae","23","176","8","566","49","3","3","0","134"
"Anguillidae","117","1160","0","719","572","0","12","0","208"
"Cyprinidae","195","3552","859","9581","1439","60","108","43","1351"
"Xenocyprididae","11","477","157","1065","399","0","3","4","594"
"Poeciliidae","138","281","23","1528","55","0","0","0","299"
"Gasterosteidae","11","160","24","615","27","0","0","0","101"
"Percidae","50","302","0","2662","137","1","8","0","359"
