speciesgenus,Genus,Family,order,class,phylum,domain
Codium fragile subsp. tomentosoides,Codium,Codiaceae,Bryopsidales,Ulvophyceae,Chlorophyta,Eukaryota
Heterosiphonia,Heterosiphonia,Dasyaceae,Ceramiales,Florideophyceae,Rhodophyta,Eukaryota
Prorocentrum minimum,Prorocentrum,Prorocentraceae,Prorocentrales,Dinophyceae,NA,NA
Sargassum muticum,Sargassum,Sargassaceae,Fucales,Phaeophyceae,NA,NA
Bonnemaisonia hamifera,Bonnemaisonia,Bonnemaisoniaceae,Bonnemaisoniales,Florideophyceae,Rhodophyta,Eukaryota
Ficopomatus enigmaticus,Ficopomatus,Serpulidae,Sabellida,Polychaeta,Annelida,Eukaryota
Teredo navalis,Teredo,Teredinidae,Myida,Bivalvia,Mollusca,Eukaryota
Marenzelleria viridis,Marenzelleria,Spionidae,Spionida,Polychaeta,Annelida,Eukaryota
Membranipora membranacea,Membranipora,Membraniporidae,Cheilostomatida,Gymnolaemata,Bryozoa,Eukaryota
Bugula neritina,Bugula,Bugulidae,Cheilostomatida,Gymnolaemata,Bryozoa,Eukaryota
Cordylophora caspia,Cordylophora,Oceaniidae,Anthoathecata,Hydrozoa,Cnidaria,Eukaryota
Ectopleura crocea,Ectopleura,Tubulariidae,Anthoathecata,Hydrozoa,Cnidaria,Eukaryota
Mysis diluviana,Mysis,Mysidae,Mysida,Malacostraca,Arthropoda,Eukaryota
Caprella mutica,Caprella,Caprellidae,Amphipoda,Malacostraca,Arthropoda,Eukaryota
Amphibalanus improvisus,Amphibalanus,Balanidae,Sessilia,Hexanauplia,Arthropoda,Eukaryota
Bythotrephes longimanus,Bythotrephes,Cercopagididae,Diplostraca,Branchiopoda,Arthropoda,Eukaryota
Cercopagis pengoi,Cercopagis,Cercopagididae,Diplostraca,Branchiopoda,Arthropoda,Eukaryota
Rhithropanopeus harrisii,Rhithropanopeus,Panopeidae,Decapoda,Malacostraca,Arthropoda,Eukaryota
Orconectes,Orconectes,Cambaridae,Decapoda,Malacostraca,Arthropoda,Eukaryota
Procambarus clarkii,Procambarus,Cambaridae,Decapoda,Malacostraca,Arthropoda,Eukaryota
Homarus americanus,Homarus,Nephropidae,Decapoda,Malacostraca,Arthropoda,Eukaryota
Crepidula fornicata,Crepidula,Calyptraeidae,Littorinimorpha,Gastropoda,Mollusca,Eukaryota
Mytilopsis leucophaeata,Mytilopsis,Dreissenidae,Myida,Bivalvia,Mollusca,Eukaryota
Dreissena polymorpha,Dreissena,Dreissenidae,Myida,Bivalvia,Mollusca,Eukaryota
Crassostrea gigas,Crassostrea,Ostreidae,Ostreida,Bivalvia,Mollusca,Eukaryota
Petricolaria pholadiformis,Petricolaria,Petricolidae,Venerida,Bivalvia,Mollusca,Eukaryota
Corbicula fluminea,Corbicula,Corbiculidae,Venerida,Bivalvia,Mollusca,Eukaryota
