,loc,Phylum,taxlevel,intersect,unique_edna,unique_trad,count_intersect,count_unique_edna,count_unique_trad,percent_inter_trad,percent_inter_edna
1,Bodega_Bay,Chordata,Order,NA,Clupeiformes;Enterogona;Stolidobranchia,Anseriformes;Apodiformes;Caprimulgiformes;Carnivora;Cetacea;Charadriiformes;Chiroptera;Ciconiiformes;Columbiformes;Coraciiformes;Didelphimorphia;Falconiformes;Galliformes;Gaviiformes;Gruiformes;Insectivora;Lagomorpha;Passeriformes;Pelecaniformes;Piciformes;Podicipediformes;Procellariiformes;Rodentia;Strigiformes;Trochiliformes,0,3,25,0%,0%
2,Bodega_Bay,Chordata,Family,NA,Clupeidae;Corellidae;Molgulidae;Oikopleuridae;Polycitoridae,Accipitridae;Aegithalidae;Alaudidae;Alcidae;Anatidae;Apodidae;Ardeidae;Balaenopteridae;Bombycillidae;Canidae;Caprimulgidae;Cathartidae;Certhiidae;Cervidae;Cerylidae;Charadriidae;Columbidae;Corvidae;Cricetidae;Didelphidae;Diomedeidae;Eschrichtiidae;Falconidae;Felidae;Fregatidae;Fringillidae;Gaviidae;Geomyidae;Gruidae;Haematopodidae;Hirundinidae;Icteridae;Laniidae;Laridae;Leporidae;Mephitidae;Mimidae;Molossidae;Motacillidae;Muridae;Muscicapidae;Mustelidae;Odontophoridae;Otariidae;Paridae;Parulidae;Passerellidae;Passeridae;Pelecanidae;Phalacrocoracidae;Phasianidae;Phocidae;Picidae;Podicipedidae;Procellariidae;Procyonidae;Rallidae;Recurvirostridae;Sciuridae;Scolopacidae;Sittidae;Soricidae;Stercorariidae;Strigidae;Sturnidae;Sylviidae;Talpidae;Thraupidae;Threskiornithidae;Trochilidae;Turdidae;Tyrannidae;Tytonidae;Vespertilionidae;Vireonidae,0,5,75,0%,0%
3,Bodega_Bay,Chordata,Genus,NA,Chelyosoma;Clupea;Eudistoma;Megalocercus;Molgula;Nematalosa;Oikopleura,Accipiter;Actitis;Aechmophorus;Aethia;Agelaius;Anas;Anser;Anthus;Aphelocoma;Aphriza;Aquila;Archilochus;Ardea;Arenaria;Asio;Athene;Aythya;Baeolophus;Bassariscus;Bombycilla;Brachyramphus;Branta;Bubo;Bubulcus;Bucephala;Buteo;Calamospiza;Calcarius;Calidris;Callipepla;Calypte;Canis;Cardellina;Carduelis;Carpodacus;Cathartes;Catharus;Cepphus;Cerorhinca;Certhia;Ceryle;Chaetura;Chamaea;Charadrius;Chlidonias;Chondestes;Chordeiles;Circus;Cistothorus;Clangula;Coccothraustes;Colaptes;Columba;Contopus;Corvus;Coturnicops;Cygnus;Cypseloides;Didelphis;Diomedea;Dolichonyx;Dryocopus;Dumetella;Egretta;Elanus;Empidonax;Enhydra;Eremophila;Eschrichtius;Eumetopias;Euphagus;Falco;Felis;Fratercula;Fregata;Fulica;Fulmarus;Gallinago;Gallinula;Gavia;Geothlypis;Grus;Haematopus;Haliaeetus;Helmitheros;Himantopus;Hirundo;Histrionicus;Icteria;Icterus;Ixoreus;Junco;Lanius;Larus;Laterallus;Lepus;Limnodromus;Limosa;Lophodytes;Loxia;Lutra;Lynx;Megaptera;Melanerpes;Melanitta;Meleagris;Melospiza;Mephitis;Mergus;Mimus;Mirounga;Mniotilta;Molothrus;Motacilla;Mus;Mustela;Myiarchus;Myiodynastes;Myotis;Neurotrichus;Numenius;Nycticorax;Oceanodroma;Odocoileus;Oenanthe;Ondatra;Oporornis;Oreoscoptes;Oxyura;Pandion;Parula;Passer;Passerculus;Passerella;Passerina;Pelecanus;Peromyscus;Petrochelidon;Phalacrocorax;Phalaropus;Phasianus;Pheucticus;Philomachus;Phoca;Pica;Picoides;Pipilo;Piranga;Plectrophenax;Plegadis;Pluvialis;Podiceps;Podilymbus;Poecile;Polioptila;Polysticta;Pooecetes;Porzana;Procyon;Progne;Protonotaria;Psaltriparus;Ptychoramphus;Puffinus;Rallus;Rattus;Recurvirostra;Regulus;Reithrodontomys;Riparia;Rissa;Rynchops;Salpinctes;Sayornis;Scapanus;Seiurus;Selasphorus;Setophaga;Sialia;Sitta;Somateria;Sorex;Spizella;Stelgidopteryx;Stercorarius;Sterna;Sturnella;Sturnus;Sylvilagus;Synthliboramphus;Tachycineta;Tadarida;Tamias;Taxidea;Thomomys;Thryomanes;Toxostoma;Tringa;Troglodytes;Tryngites;Turdus;Tyrannus;Tyto;Uria;Urocyon;Vermivora;Vireo;Vulpes;Xanthocephalus;Xema;Zalophus;Zenaida;Zonotrichia,0,7,213,0%,0%
4,Bodega_Bay,Arthropoda,Order,Hymenoptera,Amphipoda;Archaeognatha;Calanoida;Coleoptera;Cyclopoida;Harpacticoida;Misophrioida;Oribatida;Podocopida;Sessilia;Thysanoptera;Trombidiformes,NA,1,12,0,100%,8%
5,Bodega_Bay,Arthropoda,Family,Formicidae,Ampeliscidae;Bythocytheridae;Calanidae;Canthocamptidae;Chthamalidae;Crangonyctidae;Cyclopidae;Cytheruridae;Ectinosomatidae;Eucalanidae;Harpacticidae;Hydrachnidae;Isotomidae;Machilidae;Misophriidae;Scarabaeidae;Thalestridae;Thripidae,Andrenidae;Apidae;Colletidae,1,18,3,25%,5%
6,Bodega_Bay,Arthropoda,Genus,NA,Ampelisca;Benthomisophria;Bradya;Chthamalus;Crangonyx;Eucyclops;Hydrachna;Linepithema;Machilis;Mimeoma;Paramenophia;Schlerochilus;Thrips;Zausodes,Andrena;Anthophora;Aphaenogaster;Apis;Bombus;Camponotus;Ceratina;Colletes;Epeolus;Formica;Habropoda;Hylaeus;Hypoponera;Lasius;Leptothorax;Melissodes;Monomorium;Nomada;Solenopsis;Tapinoma;Xeromelecta,0,14,21,0%,0%
7,Bodega_Bay,Streptophyta,Order,Alismatales;Apiales;Asterales;Brassicales;Caryophyllales;Cupressales;Ericales;Fabales;Fagales;Lamiales;Malpighiales;Myrtales;Pinales;Poales;Polypodiales;Ranunculales;Rosales;Sapindales,Bryales;Charales;Chlorokybales;Desmidiales;Dicranales;Funariales;Hookeriales;Hypnales;Klebsormidiales;Mesostigmatales;Porellales;Pottiales,Asparagales;Boraginales;Cucurbitales;Dipsacales;Equisetales;Gentianales;Geraniales;Liliales;Oxalidales;Salviniales;Saxifragales;Solanales,18,12,12,60%,60%
8,Bodega_Bay,Streptophyta,Family,Aizoaceae;Anacardiaceae;Apiaceae;Araceae;Asteraceae;Berberidaceae;Brassicaceae;Caryophyllaceae;Chenopodiaceae;Cupressaceae;Euphorbiaceae;Fabaceae;Montiaceae;Myrtaceae;Pinaceae;Plantaginaceae;Plumbaginaceae;Poaceae;Polygonaceae;Pteridaceae;Rosaceae;Salicaceae;Zosteraceae,Brachytheciaceae;Bryaceae;Characeae;Chlorokybaceae;Desmidiaceae;Ericaceae;Fagaceae;Fissidentaceae;Frullaniaceae;Funariaceae;Hypopterygiaceae;Klebsormidiaceae;Lejeuneaceae;Leucobryaceae;Mesostigmataceae;Pottiaceae;Rutaceae,Alismataceae;Amaryllidaceae;Apocynaceae;Araliaceae;Asparagaceae;Athyriaceae;Blechnaceae;Boraginaceae;Caprifoliaceae;Convolvulaceae;Crassulaceae;Cucurbitaceae;Cymodoceaceae;Cyperaceae;Dennstaedtiaceae;Dryopteridaceae;Equisetaceae;Frankeniaceae;Gentianaceae;Geraniaceae;Grossulariaceae;Heliotropiaceae;Hydrophyllaceae;Iridaceae;Juncaceae;Juncaginaceae;Lamiaceae;Liliaceae;Linaceae;Lythraceae;Myricaceae;Nyctaginaceae;Onagraceae;Orchidaceae;Orobanchaceae;Oxalidaceae;Papaveraceae;Phrymaceae;Polemoniaceae;Polypodiaceae;Potamogetonaceae;Primulaceae;Ranunculaceae;Rhamnaceae;Rubiaceae;Salviniaceae;Saxifragaceae;Scrophulariaceae;Solanaceae;Tropaeolaceae;Typhaceae;Ulmaceae;Urticaceae,23,17,53,30%,58%
9,Bodega_Bay,Streptophyta,Genus,Atriplex;Baccharis;Brassica;Bromus;Calamagrostis;Claytonia;Dactylis;Festuca;Hypochaeris;Limonium;Lolium;Medicago;Melilotus;Phyllospadix;Pinus;Plantago;Poa;Polycarpon;Prunus;Salix;Silene;Vicia;Zostera,Adiantum;Aizoanthemum;Anomobryum;Bryum;Calluna;Chlorokybus;Citrus;Coriandrum;Cosmarium;Cyathophorum;Diplostephium;Dupontia;Ephemerum;Fissidens;Frullania;Gemmabryum;Glycine;Interfilum;Juniperus;Klebsormidium;Koenigia;Leucobryum;Mesostigma;Nitella;Quercus;Rosulabryum;Saponaria;Schinus;Scleropodium,Abronia;Acaena;Achillea;Agoseris;Agrostis;Aira;Alisma;Allium;Ambrosia;Ammophila;Amsinckia;Anagallis;Anaphalis;Angelica;Anthemis;Anthriscus;Aphanes;Arabis;Arctotheca;Armeria;Artemisia;Aster;Athyrium;Avena;Azolla;Barbarea;Bellardia;Berberis;Berula;Brachypodium;Briza;Cakile;Calandrinia;Calystegia;Camissonia;Capsella;Cardamine;Cardionema;Carduus;Carex;Carpobrotus;Castilleja;Ceanothus;Centaurea;Centaurium;Cerastium;Chenopodium;Chlorogalum;Chorizanthe;Cichorium;Cirsium;Conium;Conyza;Cordylanthus;Coronopus;Cortaderia;Cotula;Crassula;Cryptantha;Cupressus;Cuscuta;Cynosurus;Cyperus;Danthonia;Daucus;Delairea;Delphinium;Deschampsia;Dichelostemma;Dichondra;Digitalis;Distichlis;Dudleya;Echium;Ehrharta;Eleocharis;Elymus;Epilobium;Equisetum;Erechtites;Ericameria;Erigeron;Eriogonum;Eriophyllum;Erodium;Erysimum;Eschscholzia;Eucalyptus;Euphorbia;Filago;Foeniculum;Fragaria;Frankenia;Fritillaria;Galium;Genista;Geranium;Gilia;Glyceria;Gnaphalium;Grindelia;Guillenia;Hainardia;Hedypnois;Helenium;Heliotropium;Heracleum;Hesperevax;Hesperocnide;Hippuris;Holcus;Hordeum;Horkelia;Hydrocotyle;Iris;Jaumea;Juncus;Koeleria;Lagurus;Lasthenia;Lathyrus;Layia;Lemna;Leontodon;Lepidium;Leymus;Ligusticum;Linanthus;Linaria;Linum;Lithophragma;Lobularia;Lonicera;Lotus;Lupinus;Luzula;Lythrum;Madia;Marah;Marrubium;Matricaria;Meconella;Melica;Mentha;Microseris;Mimulus;Monardella;Myoporum;Myosotis;Myrica;Nassella;Navarretia;Nemophila;Oemleria;Oenanthe;Oenothera;Orobanche;Oxalis;Parapholis;Parentucellia;Pennisetum;Pentagramma;Phacelia;Phalaris;Picris;Plagiobothrys;Platanthera;Platystemon;Plectritis;Polygonum;Polypodium;Polypogon;Polystichum;Potamogeton;Potentilla;Pseudotsuga;Psilocarphus;Pteridium;Pterostegia;Puccinellia;Ranunculus;Raphanus;Rhamnus;Ribes;Rorippa;Rosa;Rubus;Rumex;Ruppia;Sagina;Salicornia;Salsola;Sanicula;Scandix;Scirpus;Scrophularia;Senecio;Silybum;Sisyrinchium;Solanum;Solidago;Soliva;Sonchus;Sparganium;Spartina;Spergula;Spergularia;Stachys;Stellaria;Tetragonia;Thinopyrum;Torreyochloa;Toxicodendron;Trifolium;Triglochin;Triphysaria;Triteleia;Tropaeolum;Typha;Ulmus;Urtica;Veronica;Vinca;Woodwardia;Yabea;Zantedeschia,23,29,226,9%,44%
10,Box_Springs,Chordata,Order,NA,NA,Apodiformes;Carnivora;Ciconiiformes;Falconiformes;Passeriformes;Rodentia;Squamata;Trochiliformes,0,0,8,0%,NA
