"","18S"," 16S"," CO1"," COI"," COX1"," ITS2"," ITS1"," trnl"," 12S"
"Codium","7","9","0","0","2","1","1","5","0"
"Heterosiphonia","0","0","0","32","0","0","0","0","0"
"Prorocentrum","112","2","159","62","101","180","180","0","0"
"Sargassum","67","81","0","36","212","956","63","5","0"
"Bonnemaisonia","1","2","0","14","0","0","0","0","0"
"Ficopomatus","11","1","0","11","0","0","0","0","0"
"Teredo","6","1","0","156","0","0","0","0","0"
"Marenzelleria","25","58","0","45","1","0","0","0","0"
"Membranipora","6","6","60","46","3","0","0","0","3"
"Bugula","1","126","4","381","4","0","0","0","4"
"Cordylophora","1","19","0","27","0","0","2","0","0"
"Ectopleura","18","29","0","35","3","0","6","0","0"
"Mysis","14","15","0","439","0","0","0","0","0"
"Caprella","115","13","1","1121","17","0","3","0","2"
"Amphibalanus","9","23","1","321","48","0","3","0","39"
"Bythotrephes","5","3","0","29","0","0","0","0","1"
"Cercopagis","11","6","0","6","1","0","0","0","1"
"Rhithropanopeus","1","7","0","274","16","0","0","0","1"
"Cambaridae","53","1330","164","2353","265","83","113","0","494"
"Procambarus","16","465","11","901","62","16","48","0","86"
"Homarus","24","33","0","56","14","1","0","0","12"
"Crepidula","2","60","0","217","33","0","0","0","1"
"Mytilopsis","7","8","0","187","7","0","0","0","0"
"Dreissena","8","105","0","437","5","0","0","0","2"
"Crassostrea","66","478","62","1345","267","217","463","0","92"
"Petricolaria","7","0","0","1","1","0","0","0","0"
"Corbicula","47","142","90","406","42","1","36","0","4"
"Melanoides","0","106","9","70","50","2","0","0","18"
"Potamopyrgus","95","93","0","366","35","97","93","0","37"
"Caulerpa","493","39","0","0","5","357","434","6","0"
"Myriophyllum","359","6","0","0","0","388","354","115","0"
"Egeria","3","0","0","0","0","7","15","1","0"
"Pontederia","3","4","0","0","0","1","0","2","0"
"Hydrilla","7","0","0","0","1","11","11","116","0"
"Nymphoides","217","11","0","0","1","231","227","70","0"
"Pistia","2","2","0","0","2","1","0","59","0"
"Salvinia","4","1","0","0","0","3","3","10","0"
"Ciona","30","0","23","504","42","6","17","0","1"
"Didemnum","25","1","14","224","82","0","0","0","0"
"Styela","28","2","3","148","192","1","2","0","2"
"Molgula","54","0","5","53","1","0","0","0","0"
"Ascidiella","59","0","66","27","9","0","0","0","0"
"Diplosoma","35","0","12","146","10","0","0","0","0"
"Alosa","0","62","0","190","31","0","0","0","41"
"Cichlasoma","0","18","61","48","6","0","0","0","2"
"Morone","6","24","0","78","3","0","0","0","21"
"Osmerus","1","30","0","146","17","15","4","4","17"
"Salmo","50","186","13","603","117","4","117","0","98"
"Pterois","0","23","33","355","13","0","0","0","20"
"Ameiurus","0","71","0","279","18","0","0","0","38"
"Anguilla","117","1160","0","719","572","0","12","0","208"
"Carassius","33","125","28","352","22","2","19","0","165"
"Ctenopharyngodon","2","45","11","71","10","0","0","0","12"
"Cyprinus","18","137","61","276","62","4","11","42","79"
"Gambusia","3","52","4","197","5","0","0","0","65"
"Gasterosteus","4","69","20","302","4","0","0","0","29"
"Gymnocephalus","0","16","0","82","4","0","0","0","8"
"Hypophthalmichthys","3","88","15","128","79","0","0","0","157"
"Lepisosteus","5","40","0","77","5","0","0","0","26"
"Neogobius","1","7","2","93","25","0","0","0","25"
"Oncorhynchus","522","308","38","1352","130","10","52","0","304"
"Platichthys","27","64","1","197","2","42","1","0","16"
"Salvelinus","276","242","21","308","200","7","194","0","107"
"Scardinius","1","11","0","149","2","0","2","0","4"
"Tinca","18","13","1","134","26","1","17","0","6"
"Danio","12","59","10","128","47","1","1","0","42"
"Mylopharyngodon","0","38","3","16","37","0","0","0","37"
"Alexandrium","534","1","4","68","14","559","559","0","0"
"Corbula","7","2","1","3","0","0","0","0","0"
"Botryllus","18","1","7","555","15","0","0","0","0"
"Botrylloides","18","0","3","138","37","0","0","0","1"
"Mya","17","38","0","113","15","2","8","0","2"
