"X","X18S","X.16S","X.ITS2","X.ITS1","X.trnl","X.12S","Combined_COI"
"Codium_ott900417",7,9,1,1,5,0,2
"Heterosiphonia_ott715237",0,0,0,0,0,0,32
"Prorocentrum_ott797787",100,2,100,100,0,0,100
"Sargassum_ott1022964",67,81,100,63,5,0,100
"Bonnemaisonia_ott813599",1,2,0,0,0,0,14
"Ficopomatus_ott631822",11,1,0,0,0,0,11
"Teredo_?genus_in_phylum_Mollusca?_ott326000",6,1,0,0,0,0,100
"Marenzelleria_ott4324",25,58,0,0,0,0,46
"Membranipora_ott394410",6,6,0,0,0,3,100
"Cordylophora_ott765326",1,19,0,2,0,0,27
"Ectopleura_ott183503",18,29,0,6,0,0,38
"Mysis_ott373475",14,15,0,0,0,0,100
"Caprella_ott5342283",100,13,0,3,0,2,100
"Amphibalanus_ott1042709",9,23,0,3,0,39,100
"Bythotrephes_ott1022217",5,3,0,0,0,1,29
"Cercopagis_ott613790",11,6,0,0,0,1,7
"Rhithropanopeus_ott190393",1,7,0,0,0,1,100
"MRCA_of_taxa_in_Procambarus_ott79859",16,100,16,48,0,86,100
"Homarus_ott28240",24,33,1,0,0,12,70
"Crepidula_ott24075",2,60,0,0,0,1,100
"Mytilopsis_?genus_in_kingdom_Archaeplastida?_ott3855889",7,8,0,0,0,0,100
"Dreissena_ott201849",8,100,0,0,0,2,100
"Crassostrea_ott355604",66,100,100,100,0,92,100
"Petricolaria_ott801950",7,0,0,0,0,0,2
"Corbicula_?genus_in_kingdom_Metazoa?_ott775909",47,100,1,36,0,4,100
"Potamopyrgus_ott1096311",95,93,97,93,0,37,100
"Caulerpa_ott858052",100,39,100,100,6,0,5
"MRCA_of_taxa_in_Myriophyllum_ott1009624",100,6,100,100,100,0,0
"MRCA_of_taxa_in_Egeria_ott510834",3,0,7,15,1,0,0
"Pontederiaceae_ott399488_MRCA_of_taxa_in_Pontederia_ott925567",3,4,1,0,2,0,0
"Hydrilla_ott332058",7,0,11,11,100,0,1
"Nymphoides_ott128308",100,11,100,100,70,0,1
"Pistia_ott431396",2,2,1,0,59,0,2
"Salvinia_?genus_in_kingdom_Archaeplastida?_ott1088898",4,1,3,3,10,0,0
"Ciona_ott744230",30,0,6,17,0,1,100
"Didemnum_ott872818",25,1,0,0,0,0,100
"Styela_ott750982",28,2,1,2,0,2,100
"Molgula_ott792373",54,0,0,0,0,0,59
"Diplosoma_?genus_in_kingdom_Archaeplastida?_ott207879",35,0,0,0,0,0,100
"Alosa_ott272032",0,62,0,0,0,41,100
"Morone_ott223661",6,24,0,0,0,21,81
"Osmerus_ott36124",1,30,15,4,4,17,100
"Salmo_ott982359",50,100,4,100,0,98,100
"MRCA_of_taxa_in_Pterois_ott1075152",0,23,0,0,0,20,100
"Ameiurus_ott687155",0,71,0,0,0,38,100
"Anguilla_ott854195",100,100,0,12,0,100,100
"Ctenopharyngodon_ott1005942",2,45,0,0,0,12,92
"Cyprinus_ott429094",18,100,4,11,42,79,100
"MRCA_of_taxa_in_Gambusia_ott617459",3,52,0,0,0,65,100
"Gasterosteus_ott401070",4,69,0,0,0,29,100
"Hypophthalmichthys_ott429092",3,88,0,0,0,100,100
"Lepisosteus_ott904121",5,40,0,0,0,26,82
"MRCA_of_taxa_in_Neogobius_ott475615",1,7,0,0,0,25,100
"Oncorhynchus_?genus_in_Opisthokonta?_ott739931",100,100,10,52,0,100,100
"Platichthys_?genus_in_subkingdom_SAR?_ott8030313",27,64,42,1,0,16,100
"MRCA_of_taxa_in_Salvelinus_ott688331",100,100,7,100,0,100,100
"MRCA_of_taxa_in_Scardinius_ott221708",1,11,0,2,0,4,100
"Tinca_ott753549",18,13,1,17,0,6,100
"Danio_ott1005927",12,59,1,1,0,42,100
"Mylopharyngodon_ott837015",0,38,0,0,0,37,56
"MRCA_of_taxa_in_Alexandrium_ott643103",100,1,100,100,0,0,86
"Corbula_ott146151",7,2,0,0,0,0,4
"Botryllus_ott487092",18,1,0,0,0,0,100
"Botrylloides_ott158430",18,0,0,0,0,1,100
"Mya_ott7365",17,38,2,8,0,2,100
"Asparagopsis_ott813597",0,2,0,0,2,0,64
"MRCA_of_taxa_in_Oreochromis_ott336599",100,100,1,96,0,82,100
"Rangia_ott12985",1,5,0,0,0,0,21
"Belonesox_ott913304",0,2,0,0,0,1,9
"Dorosoma_ott681329",0,44,0,0,0,15,66
"Monopterus_ott765109",15,100,1,7,0,18,100
"Lepomis_ott836782",1,100,0,0,0,51,100
"Acanthophora_?genus_in_kingdom_Archaeplastida?_ott413613",1,0,0,0,0,0,19
"Microspongium_ott216054",2,0,3,10,0,0,16
"MRCA_of_taxa_in_Alepes_ott705019",0,8,99,42,0,11,100
"Avrainvillea_ott364813",0,2,0,0,2,0,0
"Cladophora_ott296540",100,0,100,100,0,0,0
"Dictyosphaeria_ott380779",2,0,0,0,0,0,0
"Fucus_?genus_in_subkingdom_SAR?_ott466981",100,15,100,100,3,0,100
"MRCA_of_taxa_in_Gracilaria_ott354216",100,6,100,100,11,0,100
"Grateloupia_?genus_in_kingdom_Archaeplastida?_ott880575",33,9,34,42,7,0,100
"Hypnea_ott935814",7,1,0,10,1,0,100
"Kappaphycus_ott1048640",33,2,35,35,0,0,100
"Neosiphonia_?genus_in_kingdom_Archaeplastida?_ott832954",39,0,0,0,0,0,100
"Ulva_ott951293",100,47,100,100,5,0,34
"Antithamnion_ott878963",8,16,0,9,1,0,9
"Gymnodinium_ott274333",68,1,51,43,0,0,24
"Antithamnionella_ott1037139",2,3,0,1,1,0,1
"Bryopsis_ott59787",3,12,1,1,4,0,1
"Macrocystis_ott753589",5,2,89,78,2,0,53
"Polysiphonia_ott674045",100,0,0,0,15,0,100
"Aureococcus_ott533289",45,9,5,4,6,0,6
"Aureoumbra_ott533287",11,6,0,0,1,0,1
"Bangia_ott864267",75,2,11,12,1,0,83
"Caulacanthus_ott409808",0,2,0,0,0,0,5
"MRCA_of_taxa_in_Chaetoceros_ott1075856",100,36,49,37,0,0,70
"Chroodactylon_ott94100",3,1,0,0,0,0,0
"Cyclotella_ott422797",100,3,90,87,0,0,6
"Diatoma_ott621376",16,4,0,0,0,0,0
"Hymenomonas_ott252500",2,0,0,0,0,0,0
"Nitellopsis_ott589054",5,1,1,1,0,0,0
"Skeletonema_ott569303",100,19,89,47,2,0,62
"Sphacelaria_ott213048",7,0,3,3,0,0,7
"Stephanodiscus_ott422805",24,2,12,9,0,0,0
